,Time,State,Site,Gender,Population,Death
1,2009,Alabama, Breast, Female,2448159,645
2,2009,Alabama, Larynx, Female,2448159,0
3,2009,Alabama, Larynx, Male,2309779,67
4,2009,Alabama, Liver, Female,2448159,79
5,2009,Alabama, Liver, Male,2309779,195
6,2009,Alabama, Myeloma, Female,2448159,92
7,2009,Alabama, Myeloma, Male,2309779,94
8,2009,Alaska, Breast, Female,337002,72
9,2009,Alaska, Breast, Male,361893,0
10,2009,Alaska, Larynx, Female,337002,0
11,2009,Alaska, Liver, Male,361893,20
12,2009,Arizona, Breast, Female,3189908,716
13,2009,Arizona, Larynx, Female,3189908,0
14,2009,Arizona, Larynx, Male,3153246,60
15,2009,Arizona, Liver, Female,3189908,94
16,2009,Arizona, Liver, Male,3153246,212
17,2009,Arizona, Myeloma, Female,3189908,78
18,2009,Arizona, Myeloma, Male,3153246,106
19,2009,Arkansas, Breast, Female,1475013,414
20,2009,Arkansas, Larynx, Male,1421830,22
21,2009,Arkansas, Liver, Female,1475013,66
22,2009,Arkansas, Liver, Male,1421830,122
23,2009,Arkansas, Myeloma, Female,1475013,49
24,2009,Arkansas, Myeloma, Male,1421830,70
25,2009,California, Breast, Female,18583075,4413
26,2009,California, Breast, Male,18378154,26
27,2009,California, Larynx, Female,18583075,63
28,2009,California, Larynx, Male,18378154,246
29,2009,California, Liver, Female,18583075,584
30,2009,California, Liver, Male,18378154,1447
31,2009,California, Myeloma, Female,18583075,459
32,2009,California, Myeloma, Male,18378154,629
33,2009,Colorado, Breast, Female,2480710,513
34,2009,Colorado, Larynx, Male,2491485,18
35,2009,Colorado, Liver, Female,2480710,35
36,2009,Colorado, Liver, Male,2491485,155
37,2009,Colorado, Myeloma, Female,2480710,67
38,2009,Colorado, Myeloma, Male,2491485,66
39,2009,Connecticut, Breast, Female,1828779,503
40,2009,Connecticut, Larynx, Male,1733028,33
41,2009,Connecticut, Liver, Female,1828779,31
42,2009,Connecticut, Liver, Male,1733028,113
43,2009,Connecticut, Myeloma, Female,1828779,61
44,2009,Connecticut, Myeloma, Male,1733028,65
45,2009,Delaware, Breast, Female,459795,114
46,2009,Delaware, Breast, Male,431935,0
47,2009,Delaware, Liver, Female,459795,0
48,2009,Delaware, Liver, Male,431935,45
49,2009,Delaware, Myeloma, Female,459795,0
50,2009,Delaware, Myeloma, Male,431935,25
51,2009,Florida, Breast, Female,9534289,2776
52,2009,Florida, Breast, Male,9118355,29
53,2009,Florida, Larynx, Female,9534289,50
54,2009,Florida, Larynx, Male,9118355,229
55,2009,Florida, Liver, Female,9534289,327
56,2009,Florida, Liver, Male,9118355,798
57,2009,Florida, Myeloma, Female,9534289,326
58,2009,Florida, Myeloma, Male,9118355,379
59,2009,Georgia, Breast, Female,4917756,1221
60,2009,Georgia, Breast, Male,4703090,36
61,2009,Georgia, Larynx, Female,4917756,0
62,2009,Georgia, Larynx, Male,4703090,76
63,2009,Georgia, Liver, Female,4917756,98
64,2009,Georgia, Liver, Male,4703090,279
65,2009,Georgia, Myeloma, Female,4917756,146
66,2009,Georgia, Myeloma, Male,4703090,143
67,2009,Hawaii, Breast, Female,673075,130
68,2009,Hawaii, Breast, Male,673642,0
69,2009,Hawaii, Larynx, Female,673075,0
70,2009,Hawaii, Larynx, Male,673642,0
71,2009,Hawaii, Liver, Female,673075,21
72,2009,Hawaii, Liver, Male,673642,66
73,2009,Hawaii, Myeloma, Female,673075,0
74,2009,Hawaii, Myeloma, Male,673642,27
75,2009,Idaho, Breast, Female,775398,185
76,2009,Idaho, Breast, Male,779041,0
77,2009,Idaho, Larynx, Female,775398,0
78,2009,Idaho, Larynx, Male,779041,0
79,2009,Idaho, Liver, Female,775398,0
80,2009,Idaho, Liver, Male,779041,28
81,2009,Idaho, Myeloma, Female,775398,26
82,2009,Idaho, Myeloma, Male,779041,29
83,2009,Illinois, Breast, Female,6520723,1719
84,2009,Illinois, Breast, Male,6276055,0
85,2009,Illinois, Larynx, Female,6520723,39
86,2009,Illinois, Larynx, Male,6276055,143
87,2009,Illinois, Liver, Female,6520723,142
88,2009,Illinois, Liver, Male,6276055,397
89,2009,Illinois, Myeloma, Female,6520723,202
90,2009,Illinois, Myeloma, Male,6276055,241
91,2009,Indiana, Breast, Female,3281477,892
92,2009,Indiana, Breast, Male,3177848,0
93,2009,Indiana, Larynx, Female,3281477,25
94,2009,Indiana, Larynx, Male,3177848,51
95,2009,Indiana, Liver, Female,3281477,79
96,2009,Indiana, Liver, Male,3177848,170
97,2009,Indiana, Myeloma, Female,3281477,116
98,2009,Indiana, Myeloma, Male,3177848,141
99,2009,Iowa, Breast, Female,1532739,432
100,2009,Iowa, Larynx, Male,1500131,22
101,2009,Iowa, Liver, Female,1532739,32
102,2009,Iowa, Liver, Male,1500131,79
103,2009,Iowa, Myeloma, Female,1532739,48
104,2009,Iowa, Myeloma, Male,1500131,59
105,2009,Kansas, Breast, Female,1428139,370
106,2009,Kansas, Larynx, Male,1404565,16
107,2009,Kansas, Liver, Female,1428139,35
108,2009,Kansas, Liver, Male,1404565,80
109,2009,Kansas, Myeloma, Female,1428139,58
